time,Temperature (K)
2019-08-12 01:30:58.454805,326.54
2019-08-12 01:32:03.025612,326.54
2019-08-12 01:33:07.602385,326.54
2019-08-12 01:34:12.121030,326.54
2019-08-12 01:35:16.622076,326.54
2019-08-12 01:36:21.147655,326.54
2019-08-12 01:37:25.686571,326.54
2019-08-12 01:38:30.267905,326.54
2019-08-12 01:39:34.781123,326.54
2019-08-12 01:40:39.285435,326.54
2019-08-12 01:41:43.810084,326.54
2019-08-12 01:42:48.322791,326.54
2019-08-12 01:43:52.834281,326.54
2019-08-12 01:44:57.339751,326.54
2019-08-12 01:46:01.870374,326.54
2019-08-12 01:47:06.382187,326.54
2019-08-12 01:48:10.903782,326.54
2019-08-12 01:49:15.424677,326.54
2019-08-12 01:50:19.948715,326.54
2019-08-12 01:51:24.455391,326.54
2019-08-12 01:52:29.009290,326.54
2019-08-12 01:53:33.531419,326.54
2019-08-12 01:54:38.063184,326.54
2019-08-12 01:55:42.592601,326.54
2019-08-12 01:56:47.070020,326.54
2019-08-12 01:57:51.511744,326.54
2019-08-12 01:58:55.951876,326.54
2019-08-12 02:00:00.388626,326.54
2019-08-12 02:01:04.856933,326.54
2019-08-12 02:02:09.342859,326.54
2019-08-12 02:03:13.808717,326.54
2019-08-12 02:04:18.309242,326.54
2019-08-12 02:05:22.766715,326.54
2019-08-12 02:06:27.215689,326.54
2019-08-12 02:07:31.711441,326.54
2019-08-12 02:08:36.175131,326.54
2019-08-12 02:09:40.620888,326.54
2019-08-12 02:10:45.051326,326.54
2019-08-12 02:11:49.491835,326.54
2019-08-12 02:12:53.996216,326.54
2019-08-12 02:13:58.453261,326.54
2019-08-12 02:15:02.900451,326.54
2019-08-12 02:16:07.339730,326.54
2019-08-12 02:17:11.793805,326.54
2019-08-12 02:18:16.271397,326.54
2019-08-12 02:19:20.769565,326.54
2019-08-12 02:20:25.231140,326.44
2019-08-12 02:21:29.709873,326.54
2019-08-12 02:22:34.160303,326.54
2019-08-12 02:23:38.605987,326.54
2019-08-12 02:24:43.028711,326.54
2019-08-12 02:25:47.467410,326.54
2019-08-12 02:26:51.894290,326.54
2019-08-12 02:27:56.295827,326.54
2019-08-12 02:29:00.729942,326.54
2019-08-12 02:30:05.154129,326.54
2019-08-12 02:31:09.647717,326.54
2019-08-12 02:32:14.152671,326.54
2019-08-12 02:33:18.623848,326.54
2019-08-12 02:34:23.047218,326.54
2019-08-12 02:35:27.558509,326.54
2019-08-12 02:36:32.006187,326.54
2019-08-12 02:37:36.470808,326.54
2019-08-12 02:38:40.900591,326.54
2019-08-12 02:39:45.348573,326.54
2019-08-12 02:40:49.809052,326.54
2019-08-12 02:41:54.253393,326.54
2019-08-12 02:42:58.789745,326.54
2019-08-12 02:44:03.300444,326.54
2019-08-12 02:45:07.769826,326.54
2019-08-12 02:46:12.233056,326.54
2019-08-12 02:47:16.675006,326.54
2019-08-12 02:48:21.162469,326.54
2019-08-12 02:49:25.611077,326.54
2019-08-12 02:50:30.043002,326.54
2019-08-12 02:51:34.519378,326.54
2019-08-12 02:52:38.956389,326.54
2019-08-12 02:53:43.436058,326.54
2019-08-12 02:54:47.890929,326.54
2019-08-12 02:55:52.335830,326.54
2019-08-12 02:56:56.784003,326.54
2019-08-12 02:58:01.257813,326.54
2019-08-12 02:59:05.745237,326.44
2019-08-12 03:00:10.224868,326.54
2019-08-12 03:01:14.709881,326.54
2019-08-12 03:02:19.141891,326.54
2019-08-12 03:03:23.592120,326.54
2019-08-12 03:04:28.065053,326.54
2019-08-12 03:05:32.558726,326.54
2019-08-12 03:06:37.034068,326.54
2019-08-12 03:07:41.496895,326.54
2019-08-12 03:08:45.979347,326.54
2019-08-12 03:09:50.499188,326.54
2019-08-12 03:10:54.944426,326.54
2019-08-12 03:11:59.402176,326.54
2019-08-12 03:13:03.882960,326.54
2019-08-12 03:14:08.357941,326.54
2019-08-12 03:15:12.820492,326.54
2019-08-12 03:16:17.328893,326.54
2019-08-12 03:17:21.782816,326.54
2019-08-12 03:18:26.295215,326.54
2019-08-12 03:19:30.739736,326.54
2019-08-12 03:20:35.194380,326.54
2019-08-12 03:21:39.699615,326.54
2019-08-12 03:22:44.192466,326.54
2019-08-12 03:23:48.691139,326.54
2019-08-12 03:24:53.130156,326.54
2019-08-12 03:25:57.633915,326.54
2019-08-12 03:27:02.348918,326.54
2019-08-12 03:28:06.843128,326.54
2019-08-12 03:29:11.279686,326.54
2019-08-12 03:30:15.747403,326.54
2019-08-12 03:31:20.210793,326.54
2019-08-12 03:32:24.699951,326.54
2019-08-12 03:33:29.163333,326.54
2019-08-12 03:34:33.598699,326.54
2019-08-12 03:35:38.094605,326.54
2019-08-12 03:36:42.553981,326.54
2019-08-12 03:37:47.038447,326.54
2019-08-12 03:38:51.518324,326.44
2019-08-12 03:39:56.070596,326.54
2019-08-12 03:41:00.547986,326.54
2019-08-12 03:42:05.015650,326.54
2019-08-12 03:43:09.491152,326.54
2019-08-12 03:44:14.003208,326.44
2019-08-12 03:45:18.498513,326.54
2019-08-12 03:46:22.938176,326.54
2019-08-12 03:47:27.415098,326.54
2019-08-12 03:48:31.938050,326.54
2019-08-12 03:49:36.413182,326.54
2019-08-12 03:50:40.888555,326.44
2019-08-12 03:51:45.385577,326.54
2019-08-12 03:52:49.864762,326.54
2019-08-12 03:53:54.359937,326.54
2019-08-12 03:54:58.786738,326.54
2019-08-12 03:56:03.234823,326.54
2019-08-12 03:57:07.639624,326.54
2019-08-12 03:58:12.091133,326.54
2019-08-12 03:59:16.586267,326.54
2019-08-12 04:00:21.026706,326.54
2019-08-12 04:01:25.506684,326.54
2019-08-12 04:02:29.997720,326.54
2019-08-12 04:03:34.484178,326.54
2019-08-12 04:04:38.940966,326.44
2019-08-12 04:05:43.441092,326.54
2019-08-12 04:06:47.922441,326.54
2019-08-12 04:07:52.356777,326.54
2019-08-12 04:08:56.856093,326.54
2019-08-12 04:10:01.327514,326.54
2019-08-12 04:11:05.791190,326.54
2019-08-12 04:12:10.256543,326.54
2019-08-12 04:13:14.766041,326.54
2019-08-12 04:14:19.186525,326.54
2019-08-12 04:15:23.597979,326.54
2019-08-12 04:16:28.047434,326.54
2019-08-12 04:17:32.502188,326.54
2019-08-12 04:18:36.917392,326.54
2019-08-12 04:19:41.365805,326.54
2019-08-12 04:20:45.873014,326.54
2019-08-12 04:21:50.345021,326.54
2019-08-12 04:22:54.821174,326.54
2019-08-12 04:23:59.301026,326.44
2019-08-12 04:25:03.760352,326.54
2019-08-12 04:26:08.215266,326.44
2019-08-12 04:27:12.643185,326.54
2019-08-12 04:28:17.086714,326.54
2019-08-12 04:29:21.543316,326.54
2019-08-12 04:30:26.019961,326.54
2019-08-12 04:31:30.433576,326.54
2019-08-12 04:32:34.872067,326.54
2019-08-12 04:33:39.388520,326.54
2019-08-12 04:34:43.853829,326.54
2019-08-12 04:35:48.298422,326.54
2019-08-12 04:36:52.784487,326.54
2019-08-12 04:37:57.270470,326.54
2019-08-12 04:39:01.743788,326.54
2019-08-12 04:40:06.189328,326.54
2019-08-12 04:41:10.653761,326.54
2019-08-12 04:42:15.107617,326.54
2019-08-12 04:43:19.644442,326.54
2019-08-12 04:44:24.074451,326.54
2019-08-12 04:45:28.582490,326.44
2019-08-12 04:46:33.019945,326.54
2019-08-12 04:47:37.450772,326.54
2019-08-12 04:48:41.934802,326.54
2019-08-12 04:49:46.374733,326.54
2019-08-12 04:50:50.864687,326.54
2019-08-12 04:51:55.338964,326.54
2019-08-12 04:52:59.767697,326.54
2019-08-12 04:54:04.217549,326.54
2019-08-12 04:55:08.677269,326.54
2019-08-12 04:56:13.115685,326.54
2019-08-12 04:57:17.556998,326.54
2019-08-12 04:58:22.007155,326.54
2019-08-12 04:59:26.463984,326.54
2019-08-12 05:00:30.907669,326.54
2019-08-12 05:01:35.416725,326.54
2019-08-12 05:02:39.888287,326.64
2019-08-12 05:03:44.323917,326.54
2019-08-12 05:04:48.761798,326.54
2019-08-12 05:05:53.224137,326.54
2019-08-12 05:06:57.713219,326.54
2019-08-12 05:08:02.190720,326.54
2019-08-12 05:09:06.650846,326.54
2019-08-12 05:10:11.061895,326.54
2019-08-12 05:11:15.506623,326.54
2019-08-12 05:12:19.993825,326.54
2019-08-12 05:13:24.465901,326.54
2019-08-12 05:14:28.923029,326.54
2019-08-12 05:15:33.400656,326.54
2019-08-12 05:16:37.846595,326.54
2019-08-12 05:17:42.318175,326.54
2019-08-12 05:18:46.733897,326.54
2019-08-12 05:19:51.206744,326.54
2019-08-12 05:20:55.682440,326.54
2019-08-12 05:22:00.152347,326.54
2019-08-12 05:23:04.604493,326.54
2019-08-12 05:24:09.031603,326.54
2019-08-12 05:25:13.501951,326.54
2019-08-12 05:26:17.943373,326.54
2019-08-12 05:27:22.388189,326.54
2019-08-12 05:28:26.851008,326.54
2019-08-12 05:29:31.287283,326.54
2019-08-12 05:30:35.717905,326.54
2019-08-12 05:31:40.174921,326.54
2019-08-12 05:32:44.659959,326.54
2019-08-12 05:33:49.094194,326.54
2019-08-12 05:34:53.584494,326.54
2019-08-12 05:35:58.038567,326.54
2019-08-12 05:37:02.487427,326.54
2019-08-12 05:38:06.952907,326.54
2019-08-12 05:39:11.458124,326.54
2019-08-12 05:40:15.917191,326.54
2019-08-12 05:41:20.365380,326.54
2019-08-12 05:42:24.784812,326.54
2019-08-12 05:43:29.257174,326.54
2019-08-12 05:44:33.676801,326.54
2019-08-12 05:45:38.118479,326.54
2019-08-12 05:46:42.566529,326.54
2019-08-12 05:47:47.051900,326.54
2019-08-12 05:48:51.549384,326.54
2019-08-12 05:49:55.976709,326.54
2019-08-12 05:51:00.400830,326.64
2019-08-12 05:52:04.947416,326.54
2019-08-12 05:53:09.434571,326.44
2019-08-12 05:54:13.889309,326.54
2019-08-12 05:55:18.314742,326.54
2019-08-12 05:56:22.810235,326.64
2019-08-12 05:57:27.260896,326.54
2019-08-12 05:58:31.738733,326.54
2019-08-12 05:59:36.191506,326.54
2019-08-12 06:00:40.668851,326.54
2019-08-12 06:01:45.136003,326.54
2019-08-12 06:02:49.617105,326.54
2019-08-12 06:03:54.076639,326.54
2019-08-12 06:04:58.512970,326.54
2019-08-12 06:06:02.986004,326.54
2019-08-12 06:07:07.477990,326.54
2019-08-12 06:08:11.957720,326.54
2019-08-12 06:09:16.412597,326.54
2019-08-12 06:10:20.854565,326.54
2019-08-12 06:11:25.312457,326.54
2019-08-12 06:12:29.750455,326.54
2019-08-12 06:13:34.266723,326.54
2019-08-12 06:14:38.778724,326.54
2019-08-12 06:15:43.237547,326.54
2019-08-12 06:16:47.695955,326.54
2019-08-12 06:17:52.150369,326.54
2019-08-12 06:18:56.667712,326.54
2019-08-12 06:20:01.164934,326.54
2019-08-12 06:21:05.604224,326.54
2019-08-12 06:22:10.036360,326.54
2019-08-12 06:23:14.492189,326.54
2019-08-12 06:24:18.989891,326.54
2019-08-12 06:25:23.450901,326.44
2019-08-12 06:26:27.955436,326.44
2019-08-12 06:27:32.436272,326.54
2019-08-12 06:28:36.902141,326.44
2019-08-12 06:29:41.432888,326.54
2019-08-12 06:30:45.847042,326.54
2019-08-12 06:31:50.268603,326.54
2019-08-12 06:32:54.797421,326.54
2019-08-12 06:33:59.256400,326.54
2019-08-12 06:35:03.732746,326.54
2019-08-12 06:36:08.221395,326.44
2019-08-12 06:37:12.697913,326.54
